Origin,Destination,Via_Hub,Fare_Udeung,Remarks
금오도,장흥,특수,25600,"선박실비 / 전라남도 섬지역 여객선 운임 지원 조례 적용 시 1,000원"
장흥,개도,특수,25100,"선박실비 / 전라남도 섬지역 여객선 운임 지원 조례 적용 시 1,000원"
개도,장흥,특수,25100,"선박실비 / 전라남도 섬지역 여객선 운임 지원 조례 적용 시 1,000원"
강진,압해,특수,9800,농어촌버스 요금 보전(맥시멈)
압해,강진,특수,9800,농어촌버스 요금 보전(맥시멈)
강진,암태,특수,9800,농어촌버스 요금 보전(맥시멈)
암태,강진,특수,9800,농어촌버스 요금 보전(맥시멈)
강진,자은,특수,9800,농어촌버스 요금 보전(맥시멈)
자은,강진,특수,9800,농어촌버스 요금 보전(맥시멈)
강진,팔금,특수,9800,농어촌버스 요금 보전(맥시멈)
팔금,강진,특수,9800,농어촌버스 요금 보전(맥시멈)
강진,안좌,특수,9800,농어촌버스 요금 보전(맥시멈)
안좌,강진,특수,9800,농어촌버스 요금 보전(맥시멈)
강진,지도,특수,9800,농어촌버스 요금 보전(맥시멈)
지도,강진,특수,9800,농어촌버스 요금 보전(맥시멈)
강진,증도,특수,9800,농어촌버스 요금 보전(맥시멈)
증도,강진,특수,9800,농어촌버스 요금 보전(맥시멈)
강진,임자,특수,9800,농어촌버스 요금 보전(맥시멈)
임자,강진,특수,9800,농어촌버스 요금 보전(맥시멈)
강진,비금(가산),특수,15800,"농어촌버스 2000 + 선박실비 / 전라남도 섬지역 여객선 운임 지원 조례 적용 시 1,000원"
비금(가산),강진,특수,15800,"농어촌버스 2000 + 선박실비 / 전라남도 섬지역 여객선 운임 지원 조례 적용 시 1,000원"
강진,도초(화도),특수,15800,"농어촌버스 2000 + 선박실비 / 전라남도 섬지역 여객선 운임 지원 조례 적용 시 1,000원"
도초(화도),강진,특수,15800,"농어촌버스 2000 + 선박실비 / 전라남도 섬지역 여객선 운임 지원 조례 적용 시 1,000원"
강진,하의(웅곡),특수,31900,"선박실비 / 전라남도 섬지역 여객선 운임 지원 조례 적용 시 1,000원"
하의(웅곡),강진,특수,31900,"선박실비 / 전라남도 섬지역 여객선 운임 지원 조례 적용 시 1,000원"
